ID2,title,description,streetaddress,city,state,amenityfeatures,type,unclear_address,Year,unclear type or question,notes,Last Modified
1244,'B' Street ,(Disco),236 S. 'B' St. ,San Mateo,CA,"(D),(R),(YC),(PT),(*)",Restaurant,,1985,,,12/5/2021 12:17pm
302,'F' Street Bookstore ,,158 E. Main,El Cajon,CA,(*),Book Store,,1985,,,12/5/2021 12:17pm
1084,#'s (Numbers),,2201 Fillmore,San Francisco,CA,,Bars/Clubs,,1985,,,12/5/2021 12:17pm
917,#1 Fifth Avenue ,(Crusiy)(Patio)(No sign) (nr. Robinson),3845 5th Ave. ,San Diego,CA,(E),"Bars/Clubs,Cruising Areas",,1985,,,2/1/2022 4:25am
1734,1 Saloon,(Flicks) (enter on Applerouth Lane),524 Duval St. ,Key West,FL,"(W),(SM),(*)",Bars/Clubs,,1985,,,1/26/2022 1:23pm
403,4th Street Cafe,,2030 E. 4th ,Long Beach,CA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
4777,14 Karat ,,718 W. Market St. ,York,PA,,Business,,1985,checked,,12/5/2021 12:17pm
3803,15 E. 5th ,('R&R')(Disco)(Some L),15 E. 5th ,Jamestown,NY,"(D),(L)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
3755,17 Allen St. ,,17 Allen St. ,Buffalo,NY,"(YC),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
5356,20 rue Jacob,"(Coffee House, Books, etc.)",232 E. 800 So.,Salt Lake City,UT,(L),"Restaurant,Book Store,Business",,1985,,,12/10/2021 2:25am
145,21st Century Travel ,Suite 1082,2432 W. Peoria,Phoenix,AZ,,Travel Service,,1985,,,1/28/2022 11:46am
1116,21st St. Baths,,3244 21st St. ,San Francisco,CA,,Bathhouses,,1985,,,12/5/2021 12:17pm
1824,21st St. Theatre ,,2039 Collins Ave. ,Miami Beach,FL,,Theatre,,1985,,,12/5/2021 12:17pm
1766,24 Hour Adult Books,,N. Atlantic Ave. ,Merritt Island,FL,,Book Store,,1985,,,12/5/2021 12:17pm
1255,30 West,,30 W. Cota ,Santa Barbara,CA,"(D),(PT),(WE),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
2813,31st St. Book Store,,425 E. 31st St. ,Baltimore,MD,,Book Store,,1985,,,12/5/2021 12:17pm
3919,42nd St. Barracks ,(Hotel-like baths),226 W. 42nd St. ,Midtown- N.Y.C.,NY,(B),Bathhouses,,1985,,,12/5/2021 12:17pm
4131,42nd Street,"(Disco)(Game room downstairs)(Wed.,Fri., Sat only*)",315 W. Main St. ,Durham,NC,"(YC),(D),(*)","Bars/Clubs,Business",,1985,,,12/5/2021 12:17pm
2062,69th St. Disco,(Pool),2210 Barnes Rd. ,Macon,GA,(D),Bars/Clubs,,1985,,,12/5/2021 12:17pm
3884,78-80 Christopher St. ,(All-male mini-theatre),78 Christopher St. ,Greenwich Village & Chelsea,NY,(*),Theatre,,1985,,,12/5/2021 12:17pm
2109,80% Straight,(Erotica)(2nd floor),2131 Kuhio,Waikiki Beach,HI,(*),Bars/Clubs,,1985,,,12/5/2021 12:17pm
1195,132 Club,(Days),132 Bush St. ,San Francisco,CA,"(R),(E),(*)",Restaurant,,1985,,,12/5/2021 12:17pm
4073,132 N. Main,(Summer guest house) (Easthampton),132 N. Main ,The Hamptons,NY,"(P),(*)",Hotel,,1985,,,1/26/2022 1:23pm
1256,221 Club,(Service rd. just W. of Hwy. 101),221 Club Montecito ,Santa Barbara,CA,"(WE),(*),(W)","Bars/Clubs,Cruising Areas",,1985,,,1/21/2022 4:14am
1204,222 Club,(Opens 6 am)(Sleazy),222 Hyde St. ,San Francisco,CA,(RT),Bars/Clubs,,1985,,,12/5/2021 12:17pm
3283,315 Club,(Baths),315 1st Ave. N.,Minneapolis,MN,(P),Bathhouses,,1985,,,12/5/2021 12:17pm
4231,318 Club,,318 12th St. ,Canton,OH,"(P),(L)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
5196,611,(Looks promising),611 Hyde Park ,Houston,TX,(W),Bars/Clubs,,1985,,,12/9/2021 2:09am
1226,641 Club,"(Some W,Latins)(Sleazy patio)",641 Stockton,San Jose,CA,"(W),(SM),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4972,651 Arlington,,1851 W. Division,Arlington,TX,"(*),(C&W),(D),(PT)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
278,900 Cherry Street,,900 Cherry St. ,Chico,CA,"(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
3563,1099 Club,(Looking up),1099 S. Virginia,Reno,NV,(PT),Bars/Clubs,,1985,,,12/5/2021 12:17pm
5599,1101 West ,(Disco)(Some L),1101 W. Wisconsin Ave. ,Appleton,WI,"(D),(L),(PT),(*)",Bars/Clubs,,1985,,,12/10/2021 7:16pm
427,1350 Club,(Baths),1350 Locust ,Long Beach,CA,"(YC),(P),(*)",Bathhouses,,1985,,,12/5/2021 12:17pm
428,1350 Western World ,(Baths)(Wilmington),510 W. Anaheim,Long Beach,CA,(OC),Bathhouses,,1985,,,12/5/2021 12:17pm
1544,1352 Club,(AH-WE),1352 Capitol St. S.E.,Washington,D.C.,"(SM),(W),(AH),(WE)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4359,1470 West,"(Some M,YC)(Disco)(WE*)(Video)(Cl. Mon.)",1470 Dorothy Lane ,Kettering ,OH,"(M),(YC),(D),(R),(WE),(*)","Restaurant,Bars/Clubs",,1985,,,12/5/2021 12:17pm
1129,1500 Sutter ,(Suana),1500 Sutter St. ,San Francisco,CA,"(H),(R)","Hotel,Restaurant",,1985,,,12/5/2021 12:17pm
2993,1807 House,,54 Commercial St. ,Provincetown,MA,(H),Hotel,,1985,,,12/5/2021 12:17pm
970,1808 Club,,1808 Market St. ,San Francisco,CA,"(P),(F&S)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
5291,2015 Place ,(Disco)(Cruisy)(Good weekdays*),2015 San Pedro ,San Antonio,TX,"(D),(*)","Bars/Clubs,Cruising Areas",,1985,,,12/10/2021 1:59am
5519,2024 Tavern,(Good Sundays),2024 Westlake,Seattle,WA,"(PT),(*)",Bars/Clubs,,1985,,,12/10/2021 2:38pm
1011,2140 Market,(Macho)(Disco),2140 Market St. ,San Francisco,CA,"(YC),(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
5208,2306 Club,"(Some SM, FFA, kinky)(Cell-like rooms)",2306 Genessee,Houston,TX,"(*),(P),(SM),(FFA)",Bars/Clubs,,1985,,,12/9/2021 2:25am
5032,4001 Club,(Preppy)(Disco)(C-AH),4001 Cedar Springs,Dallas,TX,"(*),(C),(AH)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
782,5510 Club,,5510 Mission,Riverside,CA,(PT),Bars/Clubs,,1985,,,12/5/2021 12:17pm
3683,8300 Block ,(Baths),8307 Central Ave. ,Albuquerque,NM,(*),Bathhouses,,1985,,,12/5/2021 12:17pm
500,8709 Club Baths,,8709 W. 3rd St. ,Hollywood West,CA,"(P),(YC),(*)",Bathhouses,,1985,,,12/5/2021 12:17pm
1587,A Adult Book Store,(AYOR- raids),1915 S. Federal ,Ft. Lauderdale,FL,(AYOR),Book Store,,1985,,,12/5/2021 12:17pm
3261,A Brother's Touch ,"(Books, etc.)",1931 Nicollet,Minneapolis,MN,,Book Store,,1985,,,12/5/2021 12:17pm
868,A Different Drum,(Liquor)(Go go boys),3175 India St. ,San Diego,CA,(*),Bars/Clubs,,1985,,,12/5/2021 12:17pm
5465,A Different Drummer,(Book Store),420 Broadway E. ,Seattle,WA,(L),Book Store,,1985,,,12/10/2021 2:12pm
554,A Different Light ,(Books),4014 Santa Monica Blvd. ,Silverlake,CA,,Book Store,,1985,,,12/5/2021 12:17pm
3817,A Different Light ,(Books),548 Hudson St. ,Greenwich Village & Chelsea,NY,,Book Store,,1985,,,12/5/2021 12:17pm
4265,A Man's World,"(Some SM,W)",2402 St. Clarie Ave. ,Cleveland,OH,"(SM),(W),(PT),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
594,A Touch of Class ,(Liquor) (Studio City)),11801 Ventura Blvd. ,Valley,CA,,Bars/Clubs,,1985,,,1/26/2022 1:24pm
1571,A-I-A Adult Books,,4285 N. Atlantic Ave. ,Cocoa Beach,FL,,Book Store,,1985,,,12/5/2021 12:17pm
5266,Ab's Westernarie,"(Some W,OC)",622 Roosevelt ,San Antonio,TX,"(PT),(W),(OC),(*)",Bars/Clubs,,1985,,,12/9/2021 2:58am
1174,Abbey Room,(Bar & R)(Sun. brunch) (Atherton Hotel),685 Ellis St. ,San Francisco,CA,(R),"Bars/Clubs,Restaurant,Hotel",,1985,,,2/1/2022 1:54pm
3347,Abby's Irish Rose ,,103 S. 10th St. ,Oxford,MS,"(M),(YC),(D),(E)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1118,Abigail,(Bed & breakfast),246 McAllister St. ,San Francisco,CA,(H),Hotel,,1985,,,12/5/2021 12:17pm
951,Academy ,,2166 Market St. ,San Francisco,CA,"(*),(F&S)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4309,Acropolis,(Summers*),3350 Allegheny Ave. ,Columbus,OH,"(D),(E),(H),(R),(*)","Hotel,Restaurant",,1985,,,12/5/2021 12:17pm
4109,Act I Books,(Cruisy*),2137 South Blvd. ,Charlotte,NC,(*),"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
4110,Act II Books,(Cruisy*),1413 Central ,Charlotte,NC,(*),"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
4111,Act III Books,(Cruisy*),12528 E. Independence ,Charlotte,NC,(*),"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
4633,Adam & Eve Books,,133 S. 13th St. ,Philadelphia,PA,,Book Store,,1985,,,12/5/2021 12:17pm
1953,Adam's Attic,(Unisex),3635 S. Dixie Hwy. ,West Palm Beach,FL,"(YC),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
3679,Adam's Den ,(Unisex)(Disco),4418 Central Ave. N.E.,Albuquerque,NM,(D),Bars/Clubs,,1985,,,12/5/2021 12:17pm
4263,Adams Row & Bar Grill,,11921 Lorain Rd. ,Cleveland,OH,(R),Restaurant,,1985,,,12/5/2021 12:17pm
4207,Adams Street Bar,(Cocktail hour)(Disco),77 N. Adams,Akron,OH,"(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
2781,Admiral's Cup,(Fells Point),1645 Thames St. ,Baltimore,MD,"(PE),(M),(R)",Restaurant,,1985,,,1/26/2022 1:24pm
4634,Adonis Theatre,(Back room SRO or kneeling*),2026 Sansom St. ,Philadelphia,PA,(*),Theatre,,1985,,,12/5/2021 12:17pm
487,Adonis Theatre ,,7308 Melrose Ave. ,Hollywood West,CA,,Theatre,,1985,,,12/5/2021 12:17pm
2312,Adult Book & Cinema ,(Cruisy),145 N. Main St. ,Decatur,IL,,"Book Store,Cruising Areas,Erotic Shop",,1985,,,1/7/2022 11:44am
4195,Adult Book & Cinema X,,417 N.P. Ave. ,Fargo,ND,,"Book Store,Theatre",,1985,,,12/5/2021 12:17pm
3705,Adult Book Bar,,455 Cerillos,Santa Fe,NM,,Book Store,,1985,,,12/5/2021 12:17pm
2328,Adult Book Store,,579 N. Henderson,Galesburg,IL,,Book Store,,1985,,,12/5/2021 12:17pm
3262,Adult Book Store,,416 Hennepin Ave. ,Minneapolis,MN,(*),Book Store,,1985,,,12/5/2021 12:17pm
3374,Adult Book Store,(Below Bunkhouse),3109 Main St. ,Kansas City,MO,,Book Store,,1985,,,12/5/2021 12:17pm
3470,Adult Book Store,(Cruisy),113 Central Ave. ,Great Falls,MT,,"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
3478,Adult Book Store,,210 E. Main St. ,Missoula,MT,,Book Store,,1985,,,12/5/2021 12:17pm
3770,Adult Book Store,,121 Lake St. ,Elmira,NY,,Book Store,,1985,,,12/5/2021 12:17pm
5535,Adult Book Store,,2012 Sprague,Spokane,WA,,Book Store,,1985,,,12/10/2021 2:44pm
592,Adult Book Store ,(Tujunga),7135 Foothill ,Valley,CA,,Book Store,,1985,checked,Valley or Valley- L.A.,1/26/2022 1:24pm
765,Adult Book Store ,,2131 Hilltop Dr. ,Redding,CA,,Book Store,,1985,,,12/5/2021 12:17pm
3462,Adult Book Store & Arcade ,,2702 Minneapolis Ave. ,Billings,MT,(M),"Book Store,Erotic Shop",,1985,,,1/7/2022 11:44am
4899,Adult Book Store Boutique ,,3507 Magnolia,Knoxville,TN,,Book Store,,1985,,,12/5/2021 12:17pm
2103,Adult Book Stores,,2122 Kalakaua ,Waikiki Beach,HI,(M),Book Store,,1985,,,12/5/2021 12:17pm
2104,Adult Book Stores,,2162 Kalakaua,Waikiki Beach,HI,(M),Book Store,,1985,,,12/5/2021 12:17pm
5610,Adult Books,(Cruisy arcade),1122 Main,Green Bay,WI,,"Book Store,Cruising Areas",,1985,,,12/10/2021 7:22pm
3490,Adult Books & Cinema X,,951 'O' St. ,Lincoln,NE,,"Book Store,Erotic Shop",,1985,,,1/7/2022 11:44am
5426,Adult Bookstore,(cruisy arcades) (also Carver & Williamson Rd.),3747 Williamville,Roanoke,VA,,"Cruising Areas,Book Store,Erotic Shop",,1985,,,2/1/2022 4:26am
248,Adult Bookstore ,,1306 19th St. ,Bakersfield,CA,,Book Store,,1985,,,12/5/2021 12:17pm
3637,Adult Boutique,(Cruisy),Rt. 1 South ,Edison,NJ,,"Erotic Shop,Cruising Areas",,1985,,,1/19/2022 4:46pm
2470,Adult Discount Books,(Cruisy),866 5th Ave. S.E.,Cedar Rapids ,IA,,"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
1896,Adult Entertainment Center,,7338 S. Tamiami Trail,Sarasota,FL,,Erotic Shop,,1985,,,1/7/2022 11:43am
4910,Adult Movie World,,1617 Getwell,Memphis,TN,,Erotic Shop,,1985,,,1/7/2022 11:57am
2362,Adult Pleasure Palace ,"(Books, flicks, peep shows & cruisy arcade)",331 20th St. ,Rock Island,IL,,"Book Store,Cruising Areas,Erotic Shop",,1985,,,1/7/2022 11:44am
3771,Adult Toy Store,,123 Lake St. ,Elmira,NY,,Erotic Shop,,1985,,,1/7/2022 11:44am
816,Adult World ,(Books),440 W. Capitol ,Sacramento,CA,(M),Book Store,,1985,,,12/5/2021 12:17pm
1267,Adult World ,,3435 El Camino Real,Santa Clara,CA,,Bars/Clubs,,1985,checked,,12/5/2021 12:17pm
5578,Adult World Books n' Things,,1010 Quarrier St. ,Charleston,WV,,"Book Store,Erotic Shop",,1985,,,1/7/2022 11:45am
4426,Adult World Bookstore,(at I-44),3121 S.W. 29th,Oklahoma City,OK,(F&S),Book Store,,1985,,,2/1/2022 4:28am
8,After Dark ,"(Many L,B) (Disco)",117 1/2 N. 21st St. ,Birmingham,AL,"(L),(B),(D),(WE),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
669,After Dark ,(Disco)(Patio and backlot bar)(This is it!)(New Monterey),214 Lighthouse ,Monterey,CA,"(*),(YC),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
3415,Agape Church ,,4346 Gibson,St. Louis,MO,,Religious Institution,,1985,,,12/5/2021 12:17pm
5105,Agape M.C.C.,(Church),4616 S.E. Loop 820,Ft. Worth,TX,(MCC),Religious Institution,,1985,,,12/5/2021 12:17pm
5466,Al Duane's Adult Books,,1212 First Ave.,Seattle,WA,,Book Store,,1985,,,12/10/2021 2:13pm
5138,Al's ,"(Some W,SM)",2212 Converse,Houston,TX,"(W),(SM)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4882,Alan Gold's ,(Disco)(Cl. Tue.),1100 McCallie,Chatanooga,TN,"(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
3680,Albuquerque Social Club,(So what),4021 Central Ave. N.E. ,Albuquerque,NM,(P),Bars/Clubs,,1985,,,12/5/2021 12:17pm
3818,Alex in Wonderland ,(Disco)(F&S 2nd floor),30 10th Ave. ,Greenwich Village & Chelsea,NY,"(D),(PT),(F&S),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1695,Alexander's Guest House ,,1118 Fleming St. ,Key West,FL,"(H),(*)",Hotel,,1985,,,12/5/2021 12:17pm
3416,Alfonzi's Reading Rooms,"(Books, etc.)",10 N. Euclid,St. Louis,MO,,Book Store,,1985,,,12/5/2021 12:17pm
3417,Alfonzi's Reading Rooms,"(Books, etc.)",1116 Olive,St. Louis,MO,,Book Store,,1985,,,12/5/2021 12:17pm
754,Alibi East,(Disco),225 S. San Antonio,Pomona,CA,"(D),(PT)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
2961,Alice's ,,199 Commercial St. ,Provincetown,MA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
4264,All Adult Books,,3141 W. 25th St. ,Cleveland,OH,,Book Store,,1985,,,12/5/2021 12:17pm
5139,All Star News,(Cruisy),1407 Richmond ,Houston,TX,,"Cruising Areas,Book Store",,1985,,,1/7/2022 12:10pm
3743,Allen ,,16 Allen ,Buffalo,NY,"(R),(YC)",Restaurant,,1985,,,12/5/2021 12:17pm
4023,Allen St. Club,(Disco),278 Allen St. ,Rochester,NY,"(*),(L),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
5439,Alley Cats,(Disco),1419 N. State ,Bellingham,WA,"(D),(YC),(*)",Bars/Clubs,,1985,,,12/10/2021 2:04pm
1696,Alligator News & Books,,533 Duval St. ,Key West,FL,,Book Store,,1985,,,12/5/2021 12:17pm
3375,Alternate News,(Publication),3044 Cherry St. ,Kansas City,MO,,Publications,,1985,,,1/7/2022 12:11pm
952,Always Tan,(Tanning Salon),550 Castro,San Francisco,CA,,Business,,1985,,,12/5/2021 12:17pm
2844,Always Tan,,279 Newberry St. ,Boston,MA,,Business,,1985,checked,,12/5/2021 12:17pm
3263,Amazon Book Store,,2607 Hennepin Ave. ,Minneapolis,MN,(L),Book Store,,1985,,,12/5/2021 12:17pm
1023,Ambush ,"(Some W, SM, FFA)(Cruisy)(Beer & Wine)",1351 Harrison,San Francisco,CA,"(*),(W),(SM),(FFA),(R)","Restaurant,Cruising Areas",,1985,,,12/5/2021 12:17pm
1670,Ambush Room,(C&W-Levi cruise bar),4130 N.W. 6th St. ,Gainesville,FL,"(C&W),(PT)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1099,Amelia's,(Disco),647 Valencia ,San Francisco,CA,"(L),(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
388,Americana ,,210 Atlantic Ave. ,Long Beach,CA,"(M),(R),(C),(AH)",Restaurant,,1985,,,12/5/2021 12:17pm
3116,Amigas Club,(Disco) (betw. 7 & 8 Mile Rds.),19326 Conant ,Detroit,MI,"(L),(D),(*)",Bars/Clubs,,1985,,,2/1/2022 4:08am
1175,Amsterdam Hotel ,,749 Taylor St. ,San Francisco,CA,"(*),(H)",Hotel,,1985,,,12/5/2021 12:17pm
2962,Anchor Inn Guest House ,,175 Commercial St. ,Provincetown,MA,"(H),(*)",Hotel,,1985,,,12/5/2021 12:17pm
74,Anchorage Books,(Cruisy),477 'C' St. ,Anchorage,AK,,"Book Store,Cruising Areas",,1985,,,12/5/2021 12:17pm
3952,Andre's ,,2321 8th Ave. ,Uptown- N.Y.C.,NY,(B),Bars/Clubs,,1985,,,12/5/2021 12:17pm
4228,Andree's ,,333 Cleveland N.W.,Canton,OH,"(M),(RT),(R),(C),(AH)",Restaurant,,1985,,,12/5/2021 12:17pm
107,Andrews Lounge ,(Looking good),2701 E. Indian School Rd. ,Phoenix,AZ,(E),Bars/Clubs,,1985,,,12/5/2021 12:17pm
5467,Andy's ,,214 Broadway E. ,Seattle,WA,"(M),(R)",Restaurant,,1985,,,12/10/2021 2:13pm
4427,Angles,(Disco),2117 N.W. 39th ,Oklahoma City,OK,"(*),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
442,Animal II,"(Some SM,W)(No booze)",253 N. Vermont,Hollywood,CA,"(SM),(W),(P),(F&S)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1024,Animals ,(Baths)(Slings),161 6th St. ,San Francisco,CA,"(F&S),(W),(SM),(FFA),(*),(P)","Bars/Clubs,Bathhouses",,1985,,,1/20/2022 6:46am
361,Annex ,,835 S. La Brea,Inglewood,CA,,Bars/Clubs,,1985,checked,,12/5/2021 12:17pm
2185,Annex 2,(Disco)(Sun. T-D*),430 N. Clark St. ,Chicago,IL,"(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4266,Another Place,(Disco),2140 Payne,Cleveland,OH,"(B),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
3953,Ansonia Bath & Health Club,(Ansonia Hotel) (at 73rd),2109 Broadway,Uptown- N.Y.C.,NY,(OC),"Bathhouses,Hotel",,1985,,,2/1/2022 4:04am
778,Answer,(Crusiy)(Disco),1640 Main St. ,Redwood City,CA,"(W),(D),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1697,Antonia's ,(Italian R),1118 Fleming St. ,Key West,FL,"(PE),(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
1025,Anxious Arms,,964 Howard St. ,San Francisco,CA,"(*),(H)",Hotel,,1985,,,12/5/2021 12:17pm
593,Apache Territory ,(Disco)(Liquor) (Studio City),11608 Ventura Blvd.,Valley,CA,"(D),(L)",Bars/Clubs,,1985,,,1/26/2022 1:24pm
869,Apartment ,,756 Ventura Pl. ,San Diego,CA,"(L),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
5080,Apartment ,,815 Myrtle ,El Paso,TX,"(PT),(OC)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
3523,Apollo Health Spa,(Baths),2466 Industrial Rd. ,Las Vegas,NV,,Bathhouses,,1985,,,12/5/2021 12:17pm
2639,Apple Barrel ,(Pizza)(Upstairs),609 Frenchman,New Orleans,LA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
3569,Appletree Book Store,,24 Warren St. ,Concord,NH,(M),Book Store,,1985,,,12/5/2021 12:17pm
1862,Aquarian ,(Disco),6120 Lillian Hwy. ,Pensacola,FL,"(L),(PT),(D),(S)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
3376,Arabian Nights,(R upstairs- Cocktail hr.- Open Sun.),3314 Gilham Plaza,Kansas City,MO,"(*),(R)","Bars/Clubs,Restaurant",,1985,,,12/5/2021 12:17pm
2471,Arcade Theatre,(Times II),1415 1st Ave. S.E.,Cedar Rapids ,IA,,Theatre,,1985,,,2/1/2022 5:43am
3590,Archie's ,(Cruisy late afternoons with beach crowd)(Patio),312 Cookman Ave. ,Asbury Park ,NJ,,"Bars/Clubs,Cruising Areas",,1985,,,12/5/2021 12:17pm
4699,Arena Health Club Baths,,2025 Forbes Ave. ,Pittsburgh ,PA,"(P),(OC)",Bathhouses,,1985,,,12/5/2021 12:17pm
3820,Ariel,(Wed.-Sun.),53 W. 19th St. ,Greenwich Village & Chelsea,NY,(L),Bars/Clubs,,1985,,,12/5/2021 12:17pm
1822,Arlequin,(Latins)(Disco),1137 Washington Ave. ,Miami Beach,FL,(D),Bars/Clubs,,1985,,,12/5/2021 12:17pm
4388,Arlington,,901 Starr,Toledo,OH,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
1981,Arney's,,2345 Cheshire Bridge Rd. ,Atlanta,GA,"(D),(L)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1333,Arnie's Tap Room,(Sleazy),1027 Broadway ,Denver,CO,"(PT),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
5468,Arnold's on Broadway,(Video),1833 Broadway ,Seattle,WA,"(M),(R)",Restaurant,,1985,,,12/10/2021 2:13pm
2640,Around the Clock,(Publication),421 Burgundy #3,New Orleans,LA,,Publications,,1985,,,1/7/2022 12:11pm
2845,Art I Cinema,,204 Tremont,Boston,MA,,Theatre,,1985,checked,,12/5/2021 12:17pm
1100,Artemis Society,,1199 Valencia,San Francisco,CA,"(L),(R),(*)",Restaurant,,1985,,,12/5/2021 12:17pm
3810,Artists Cafe,,1 Main St. ,Lake Placid,NY,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
3117,Aruba,(Disco) (Plymouth 48170),99 W. 7 Mile Rd.,Detroit,MI,"(YC),(D),(*)",Bars/Clubs,,1985,,,1/31/2022 4:37am
2964,Aspasia House ,,92 Bradford St. ,Provincetown,MA,(H),Hotel,,1985,,,12/5/2021 12:17pm
4635,Astral Plane ,,1706 Lombard St. ,Philadelphia,PA,"(R),(M)",Restaurant,,1985,,,12/5/2021 12:17pm
5140,Asylum ,(Books & arcade)(Open 24 hours),1201 Richmond,Houston,TX,(F&S),"Book Store,Business",,1985,,,12/5/2021 12:17pm
1176,Atherton Hotel ,,685 Ellis St. ,San Francisco,CA,"(H),(*)",Hotel,,1985,,,12/5/2021 12:17pm
3603,Atlantic City News ,(Books),101 S. Illinois,Atlantic City,NJ,,Book Store,,1985,,,12/5/2021 12:17pm
5267,Atlantis,(Many Latins),321 Navarro,San Antonio,TX,(S),Bars/Clubs,,1985,,,12/9/2021 2:58am
37,Atlantis ,(Disco) (near Memorial Parkway),2572 Sparkman Dr. ,Huntsville,AL,"(YC),(D),(*)",Bars/Clubs,,1985,,,1/28/2022 11:44am
4418,Atomic Annie's ,"(Some YC,L, Military)(Disco)(May have new name)",116 First St. ,Lawton,OK,"(*),(YC),(L),(D),(S)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
488,Au Petit Joint,(French R)(Wine only),7953 Santa Monica Blvd. ,Hollywood West,CA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
2363,Augie's,"(Some SM,OC,RT,L)",313 20th St. ,Rock Island,IL,"(SM),(OC),(RT),(L),(PT),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
2278,Augie's & C.K.'s ,,3726 N. Broadway,Chicago,IL,"(L),(PT),(*)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
4977,Austin 6,"(Books, etc.)",521 Thompson,Austin,TX,,"Book Store,Business",,1985,,,12/5/2021 12:17pm
4978,Austin Alternative,(Some L),5500 S. Congress,Austin,TX,(L),Bars/Clubs,,1985,,,12/5/2021 12:17pm
1698,Authors of Key West,(Guest house)(Pool),725 White,Key West,FL,(H),Hotel,,1985,,,12/5/2021 12:17pm
4024,Avenue Pub,(Fun neighborhood bar- Best Sundays*),522 Monroe Ave. ,Rochester,NY,(*),Bars/Clubs,,1985,,,12/5/2021 12:17pm
3413,Avi's Lounge,"(Some YC,L)(Disco-D Wed., Fri.-Sat.)",705 Edmond St. ,St. Joseph,MO,"(*),(YC),(L),(D),(PT)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
246,Awful Annie's Cafe,,"160 Sacramento 
",Auburn,CA,"(M),(R)",Restaurant,,1985,,,12/5/2021 12:17pm
4936,B. Palola's ,,1812 Hayes St. ,Nashville,TN,"(R),(M),(*)",Restaurant,,1985,,,12/5/2021 12:17pm
1101,B.A.R,(Publication),1528 15th St. ,San Francisco,CA,,Publications,,1985,,,1/7/2022 12:11pm
683,B.C. ,"(Baths)(Some OC,B)",2544 73rd Ave. ,Oakland,CA,"(OC),(B)",Bathhouses,,1985,,,12/5/2021 12:17pm
2227,B.J.'s,(Disco)(Patio),3231 N. Clark St. ,Chicago,IL,"(*),(D)",Bars/Clubs,,1985,,,12/5/2021 12:17pm
1249,B.J.'s ,(Disco)(Some L),721 Lincoln Ave. ,San Rafael,CA,"(R),(D),(L),(*)",Restaurant,,1985,,,12/5/2021 12:17pm
