ID,Title,status,description,streetaddress,lat.lon,city,state,amenityfeatures,type,Year,unclearaddress,uncleartype,notes,dateadded,lastmodified
99,Ala Moana Beach ,Found,dressing rooms and showers,," 21.289969,-157.847657","Waikiki Beach, Oahu",HI,,Cruising Areas,1977,checked,,,4/17/2020 11:51pm,4/18/2020 8:10pm
225,Ala Moana Beach & Park ,Found,(Dressing rooms & shower),," 21.289969,-157.847657","Waikiki Beach, Oahu",HI,,Cruising Areas,1979,checked,,,4/18/2020 8:17pm,4/20/2020 8:42pm
262,Ala Moana Beach & Park ,Found,(Dressing room & Showers),," 21.289969,-157.847657","Waikiki Beach, Oahu",HI,,Cruising Areas,1980,checked,,,4/18/2020 8:18pm,4/20/2020 11:41pm
100,Ala Moana Park,Found,,," 21.289969,-157.847657","Waikiki Beach, Oahu",HI,,Cruising Areas,1977,checked,,,4/17/2020 11:51pm,4/18/2020 8:10pm
47,Ala Moana Park ,Found,,," 21.289969,-157.847657","Waikiki Beach, Oahu",HI,,Cruising Areas,1974,checked,,,4/17/2020 11:50pm,4/18/2020 6:33pm
77,Ala Moana Park ,Found,,," 21.289969,-157.847657","Waikiki Beach, Oahu",HI,,Cruising Areas,1976,checked,,,4/17/2020 11:51pm,4/18/2020 7:29pm
209,Alex's Hole in the Wall ,Found,,"Wahie Lane, off Front St. ","20.875896,-156.680329 ","Lahaina, Maui",HI,"(M),(R)",Restaurant,1979,checked,,,4/18/2020 8:17pm,4/20/2020 4:49pm
30,Beach in front of Queen's Surf & Kimana Beach Hotels,General Coordinates Used,,,"21.276006,-157.825748",Waikiki,HI,,Cruising Areas,1973,checked,,,4/17/2020 11:50pm,4/18/2020 12:51am
87,Casa Nostra,General Coordinates Used,(Bar-late) Center of Hotel Row ,,"22.052222,-159.337778","Kapaa-Wailua, Kauai",HI,"(M),(R)","Restaurant,Hotels",1977,checked,,,4/17/2020 11:51pm,7/20/2020 10:36am
38,Casa Nostra ,General Coordinates Used,"(open afternoons, bar good late)",,"22.052222,-159.337778","Kapaa-Wailua, Kauai",HI,"(M),(R)",Restaurant,1974,checked,,,4/17/2020 11:50pm,4/18/2020 6:19pm
56,Casa Nostra ,General Coordinates Used,(Open afternoons- bar good late),,"22.052222,-159.337778","Kapaa-Wailua, Kauai",HI,"(M),(R)",Restaurant,1975,checked,,,4/17/2020 11:50pm,4/18/2020 6:37pm
154,Casa Nostra ,General Coordinates Used,(Open afternoons- bar good late) Center of Hotel Row,,"22.052222,-159.337778","Kapaa-Wailua, Kauai",HI,"(M),(R)","Restaurant,Hotels",1976,checked,,,4/18/2020 7:11pm,7/20/2020 10:36am
180,Casa Nostra ,General Coordinates Used,Center of Hotel Row (bar-late),,"22.052222,-159.337778","Kapaa-Wailua, Kauai",HI,"(M),(R)","Restaurant,Hotels",1978,checked,,,4/18/2020 8:17pm,7/20/2020 10:36am
86,Club Jetty ,Found,(T-Room) near Kauai Surf Hotel ,,"21.962709,-159.350198","Kalakapei Beach, Kauai",HI,"(M),(AH)",Bars/Clubs,1977,checked,approximate location,,4/17/2020 11:51pm,4/18/2020 7:44pm
179,Club Jetty ,Found,near Kauai Surf Hotel (T-Room),,"21.962709,-159.350198","Kalakapei Beach, Kauai",HI,"(M),(AH)",Bars/Clubs,1978,checked,approximate location,,4/18/2020 8:17pm,4/18/2020 8:40pm
246,Club Jetty T-Room,Found,(Late) nr. Kauai Surf Hotel ,,"21.962709,-159.350198","Nawiliwili, Kauai ",HI,,Cruising Areas,1980,checked,approximate location,,4/18/2020 8:18pm,4/20/2020 10:19pm
163,Coco Head Stables,Found,,,"21.293833,-157.675322","Waikiki Beach, Oahu",HI,,Cruising Areas,1977,checked,,,4/18/2020 7:47pm,4/18/2020 8:10pm
