"ID","Title","description","streetaddress","city","state","amenityfeatures","type","Year","unclearaddress","uncleartype","notes","dateadded","lastmodified","full.address","lon","lat","geoAddress","status"
2,"Club Baths","","1030 W. 2nd ","Reno","NV","","Baths",1965,NA,NA,NA,"4/24/2020 12:14am","7/27/2020 1:20pm","1030 W. 2nd , Reno, NV","-119.826675","39.5241202","1030 w 2nd st, reno, nv 89503, usa","Geocoded"
4,"Reno Bar ","","424 E. 4th","Reno","NV","","Bars/Clubs",1965,NA,NA,NA,"4/24/2020 12:14am","7/27/2020 1:20pm","424 E. 4th, Reno, NV","-119.8082473","39.5308793","424 e 4th st, reno, nv 89512, usa","Geocoded"
3,"Westside Motel","","3001 W. 4th","Reno","NV","(H)","Hotels",1965,NA,NA,NA,"4/24/2020 12:14am","7/27/2020 1:20pm","3001 W. 4th, Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
102,"Club Baths","","1030 W. 2nd ","Reno","NV","","Baths",1966,NA,NA,NA,"4/26/2020 12:33am","7/27/2020 1:20pm","1030 W. 2nd , Reno, NV","-119.826675","39.5241202","1030 w 2nd st, reno, nv 89503, usa","Geocoded"
5,"Dave's VIP Club ","","3001 W. 4th ","Reno","NV","(*)","Bars/Clubs",1966,NA,NA,NA,"4/24/2020 12:14am","7/27/2020 1:20pm","3001 W. 4th , Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
103,"Reno Bar ","","424 E. 4th","Reno","NV","","Bars/Clubs",1966,NA,NA,NA,"4/26/2020 12:34am","7/27/2020 1:20pm","424 E. 4th, Reno, NV","-119.8082473","39.5308793","424 e 4th st, reno, nv 89512, usa","Geocoded"
104,"Westside Motel","","3001 W. 4th","Reno","NV","(H)","Hotels",1966,NA,NA,NA,"4/26/2020 12:35am","7/27/2020 1:20pm","3001 W. 4th, Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
6,"Driftwood ","","4231 Main St. ","Las Vegas","NV","","Bars/Clubs",1968,NA,NA,NA,"4/24/2020 12:14am","7/27/2020 1:20pm","4231 Main St. , Las Vegas, NV","-115.1527427","36.1610061","s main st, las vegas, nv, usa","Geocoded"
106,"Club Baths","","1030 W. 2nd ","Reno","NV","","Baths",1968,NA,NA,NA,"4/26/2020 12:38am","7/27/2020 1:20pm","1030 W. 2nd , Reno, NV","-119.826675","39.5241202","1030 w 2nd st, reno, nv 89503, usa","Geocoded"
107,"Dave's VIP Club ","","3001 W. 4th ","Reno","NV","(*)","Bars/Clubs",1968,NA,NA,NA,"4/26/2020 12:39am","7/27/2020 1:20pm","3001 W. 4th , Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
108,"Reno Bar ","","424 E. 4th","Reno","NV","","Bars/Clubs",1968,NA,NA,NA,"4/26/2020 12:39am","7/27/2020 1:20pm","424 E. 4th, Reno, NV","-119.8082473","39.5308793","424 e 4th st, reno, nv 89512, usa","Geocoded"
109,"Westside Motel","","3001 W. 4th","Reno","NV","(H)","Hotels",1968,NA,NA,NA,"4/26/2020 12:39am","7/27/2020 1:20pm","3001 W. 4th, Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
112,"Club Baths","","1030 W. 2nd St. ","Reno","NV","","Baths",1969,NA,NA,NA,"4/26/2020 12:46am","7/27/2020 1:20pm","1030 W. 2nd St. , Reno, NV","-119.826675","39.5241202","1030 w 2nd st, reno, nv 89503, usa","Geocoded"
113,"Dave's V.I.P.  ","","3001 W. 4th St. ","Reno","NV","(*)","Bars/Clubs",1969,NA,NA,NA,"4/26/2020 12:47am","7/27/2020 1:20pm","3001 W. 4th St. , Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
114,"Reno Bar ","","424 E. 4th St. ","Reno","NV","","Bars/Clubs",1969,NA,NA,NA,"4/26/2020 12:48am","7/27/2020 1:20pm","424 E. 4th St. , Reno, NV","-119.8082473","39.5308793","424 e 4th st, reno, nv 89512, usa","Geocoded"
9,"Stagecoach Inn ","","7350 W. 4th St. ","Reno","NV","(H)","Hotels",1969,NA,NA,NA,"4/24/2020 12:14am","7/27/2020 1:20pm","7350 W. 4th St. , Reno, NV","-119.8819399","39.5099438","7350 w 4th st, reno, nv 89523, usa","Geocoded"
10,"Sunnyside Bar ","","8100 W. 4th St. ","Reno","NV","","Bars/Clubs",1969,NA,NA,NA,"4/24/2020 12:14am","7/27/2020 1:20pm","8100 W. 4th St. , Reno, NV","-119.89592","39.508772","8100 w 4th st, reno, nv 89523, usa","Geocoded"
115,"Westside Motel","","3001 W. 4th","Reno","NV","(H)","Hotels",1969,NA,NA,NA,"4/26/2020 12:50am","7/27/2020 1:20pm","3001 W. 4th, Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
118,"Club Baths","","1030 W. 2nd St. ","Reno","NV","","Baths",1970,NA,NA,NA,"4/26/2020 12:53am","7/27/2020 1:20pm","1030 W. 2nd St. , Reno, NV","-119.826675","39.5241202","1030 w 2nd st, reno, nv 89503, usa","Geocoded"
119,"Dave's V.I.P.  Club ","(behind Westside Motel)","3001 W. 4th St. ","Reno","NV","(*)","Bars/Clubs",1970,NA,NA,NA,"4/26/2020 12:54am","7/27/2020 1:20pm","3001 W. 4th St. , Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
120,"Reno Bar ","","424 E. 4th St. ","Reno","NV","","Bars/Clubs",1970,NA,NA,NA,"4/26/2020 12:55am","7/27/2020 1:20pm","424 E. 4th St. , Reno, NV","-119.8082473","39.5308793","424 e 4th st, reno, nv 89512, usa","Geocoded"
121,"Stagecoach Inn ","","7350 W. 4th St. ","Reno","NV","(H)","Hotels",1970,NA,NA,NA,"4/26/2020 12:55am","7/27/2020 1:20pm","7350 W. 4th St. , Reno, NV","-119.8819399","39.5099438","7350 w 4th st, reno, nv 89523, usa","Geocoded"
122,"Sunnyside Bar ","","8100 W. 4th St. ","Reno","NV","","Bars/Clubs",1970,NA,NA,NA,"4/26/2020 12:56am","7/27/2020 1:20pm","8100 W. 4th St. , Reno, NV","-119.89592","39.508772","8100 w 4th st, reno, nv 89523, usa","Geocoded"
123,"Westside Motel","","3001 W. 4th","Reno","NV","(H)","Hotels",1970,NA,NA,NA,"4/26/2020 12:56am","7/27/2020 1:20pm","3001 W. 4th, Reno, NV","-119.8489517","39.5198392","3001 w 4th st, reno, nv 89523, usa","Geocoded"
12,"Levi Club Discotheque ","(no booze) N. Las Vegas","810 E. Lake Mead Blvd. ","Las Vegas","NV","(YC),(D)","Bars/Clubs",1971,NA,NA,NA,"4/24/2020 12:14am","7/27/2020 1:20pm","810 E. Lake Mead Blvd. , Las Vegas, NV","-115.1301599","36.1962201","810 e lake mead blvd, north las vegas, nv 89030, usa","Geocoded"
125,"Red Barn "," ","1317 E. Tropicana Ave. near Maryland Pkwy.","Las Vegas","NV","(D),(*)","Bars/Clubs",1971,NA,NA,NA,"4/26/2020 1:10am","7/27/2020 1:20pm","1317 E. Tropicana Ave. near Maryland Pkwy., Las Vegas, NV","-115.1354155","36.0966417","5130 s maryland pkwy, las vegas, nv 89119, usa","Geocoded"
126,"Club Baths","","1030 W. 2nd St. ","Reno","NV","","Baths",1971,NA,NA,NA,"4/26/2020 1:11am","7/27/2020 1:20pm","1030 W. 2nd St. , Reno, NV","-119.826675","39.5241202","1030 w 2nd st, reno, nv 89503, usa","Geocoded"
